name,address,phone,website,rating,score,tier,reason,pain_point,pitch,searched_at
Kathmandu Grill Restaurant & Wine Bar,"
चाक्सीवारी मार्ग, काठमाडौँ 44600","
982-8425333",https://www.kathmandugrill.com/,N/A,5,Warm,"The business has an online presence but lacks clear digital maturity, indicated by a lack of reviews and a basic website.",Difficulty in attracting and retaining customers due to limited online visibility and engagement.,"Hi Kathmandu Grill, we've noticed you're missing out on online visibility and customer engagement - let's discuss how to boost your digital presence and drive more sales.",2026-05-05 13:42
वालनट बिस्ट्रो,"
Do-Cha Marga, काठमाडौँ 44600","
01-4510484",http://walnutbistronepal.com/,N/A,5,Warm,The business has a website but lacks online reviews and clear e-commerce signals.,Difficulty in attracting and retaining customers due to lack of online presence and reviews.,"Hi वालनट बिस्ट्रो, I noticed you're missing out on online reviews and potential customers; I'd love to discuss how we can help you improve your online presence and drive more sales.",2026-05-05 13:42
Temple Town Rooftop Restaurant & Bar,"
Kaldhara, काठमाडौँ 44600","
970-2423180",http://www.templetownnepal.com/,N/A,5,Warm,The business has a website but lacks reviews and clear digital maturity,Difficulty in attracting and retaining customers due to lack of online presence and reviews,"Hi Temple Town Rooftop Restaurant & Bar, I'd love to help you boost your online visibility and attract more customers with our digital marketing services",2026-05-05 13:42
Gaia Restaurant,"
काठमाडौँ 44600","
985-1230448",http://www.gaia-restaurant.com/,N/A,5,Warm,Auto-qualification failed — review manually,Unknown,"Hi, I came across Gaia Restaurant and wanted to reach out.",2026-05-05 13:42
"ज्यास्पर रेस्टुरेन्ट - ठमेल, काठमाडौं","
P876, Thabahi Road, काठमाडौँ 44600","
980-3050739",https://jasperrestaurantthamel.com/,N/A,4,Cold,"The restaurant has no online reviews and a weak online presence, indicating a lack of digital maturity.",They may struggle to attract new customers and increase online visibility.,"Hi Jasper Restaurant, we've noticed you're missing out on online reviews and potential customers - would you like to boost your online presence?",2026-05-05 13:42
Yala Cafe & Coffee Shop,"
Kwabahal, ठमेल मार्ग, काठमाडौँ 44600","
01-5367554",https://yalacafe.com/,N/A,4,Cold,"The business has a website but lacks online reviews and clear digital signals, indicating a low level of digital maturity.",Difficulty in attracting and retaining customers due to lack of online presence and reviews.,"Hi Yala Cafe & Coffee Shop team, we've noticed you're missing out on potential customers online and would love to help you boost your online presence and attract more customers.",2026-05-05 13:42
The Urvin's Garden Restaurant,"
Cnr sardha marg and, Bishal Nagar Marg, काठमाडौँ 44600","
984-5228569",https://theurvins.wixsite.com/the-urvins,N/A,4,Cold,The restaurant has a weak online presence with no reviews and a basic website.,Difficulty attracting and retaining customers due to lack of online visibility.,"Hi, I noticed you're just starting out with your online presence, I'd love to help you grow your customer base with our digital marketing services.",2026-05-05 13:42
The Best Kathmandu Kitchen,"
Thamel-26,Bhagawatisthan, काठमाडौँ 44600","
01-4513355",http://www.tkathmandukitchen.com/,N/A,4,Cold,The business has a website but lacks online reviews and clear digital maturity signals.,Difficulty in attracting and retaining customers due to lack of online visibility.,"Hi, I noticed you're just starting to build your online presence, would you like to learn how to increase visibility and attract more customers to your restaurant?",2026-05-05 13:42
Rest Up Rooftop Restaurant,"
Paknajol, काठमाडौँ 44600","
01-5351693",,N/A,4,Cold,"The restaurant has no online presence, no website, and zero reviews, indicating a lack of digital marketing efforts.",Difficulty in attracting new customers and increasing online visibility.,"Hi Rest Up Rooftop Restaurant, I'd love to help you boost your online presence and attract more customers to your rooftop restaurant in Kathmandu.",2026-05-05 13:42
तेस्रो आँखा भोजनालय,"
JP Rd, काठमाडौँ 44600","
01-5360289",https://thirdeye.com.np/,N/A,4,Cold,The business has a very low online presence with no reviews and unclear digital maturity.,Difficulty in attracting and retaining customers due to lack of online visibility.,"Hi, I came across Thirdeye Restaurant and noticed you're missing out on potential customers online, would you like to explore ways to improve your online presence?",2026-05-05 13:42
यान्गलिंग तिब्बती रेस्टुरेन्ट,"
P884+GV9, Kaldhara Marg, काठमाडौँ 44600","
01-5357408",https://www.facebook.com/pages/Yangling-Restaurant/1979402438985700,N/A,4,Cold,The business has a weak online presence with no reviews and unclear digital maturity.,Difficulty in attracting customers and increasing online visibility.,"Hi, I noticed your Tibetian restaurant in Kathmandu and I'd love to help you boost your online presence and attract more customers.",2026-05-05 13:42
Green Villy Restaurant - Thamel Kathmandu,"
P885+HFX, 16 पकनाजोल मार्ग, काठमाडौँ 44600","
981-2885154",https://www.facebook.com/share/1CSfqPwjBP/,N/A,4,Cold,The business has a weak online presence with no reviews and a Facebook page that doesn't appear to be a primary website.,Difficulty attracting and retaining customers due to lack of online visibility.,"Hi Green Villy Restaurant, I'd love to help you boost your online presence and attract more customers to your Thamel location in Kathmandu.",2026-05-05 13:42
Elegance Café & Restaurant,"
Shree Ratna Marg, काठमाडौँ 44600","
970-3724366",,N/A,4,Cold,"The business listing lacks a website and has no online reviews, indicating a potential lack of digital presence and marketing efforts.",Difficulty attracting and retaining customers due to limited online visibility and marketing efforts.,"Hi Elegance Café & Restaurant, I came across your business and noticed you're missing out on potential customers online - would you like to explore ways to improve your online presence?",2026-05-05 13:42
